,Compound,Date,Negative,Neutral,Outlet,Positive,Text,Tweet Count
89,0.0,Sun Mar 11 12:00:03 +0000 2018,0.0,1.0,@BBC,0.0,🚐 Meet Om Abdullah - Egypt's first official female minibus driver. https://t.co/Z4fmE1k5ph,90
90,-0.2755,Sun Mar 11 11:31:52 +0000 2018,0.095,0.905,@BBC,0.0,"RT @BBCSport: We're not emotionally ready for this.

John Motson will deliver his final live BBC commentary today.

More details👇
https://t…",91
91,0.1326,Sun Mar 11 11:10:49 +0000 2018,0.05,0.877,@BBC,0.073,"RT @CBeebiesHQ: Doesn't matter if your family has:

One Mum👩‍👦

Two Mums 👩‍👩‍👧‍👧

A Grandmum 👵🏼

... they all want a lie-in!

#HappyMothers…",92
92,0.7717,Sun Mar 11 10:32:04 +0000 2018,0.0,0.645,@BBC,0.355,"🍰 Surprise your mum with a homemade treat this #MothersDay – from easy cupcakes to luscious layer cakes.
👉… https://t.co/p7n5lo2ziD",93
93,-0.25,Sun Mar 11 10:24:05 +0000 2018,0.155,0.747,@BBC,0.098,"RT @BBCScotland: Undercover filming reveals Scotland's growing 'bag' problem.

See more from #ShortStuff -  https://t.co/orhxUmskEd 

#come…",94
94,0.0,Sun Mar 11 10:05:01 +0000 2018,0.0,1.0,@BBC,0.0,🐷 Blossom the pig can sit on command! https://t.co/mRGtuk0zqh,95
95,0.6808,Sun Mar 11 10:02:15 +0000 2018,0.0,0.789,@BBC,0.211,"RT @BBC6Music: 🎂 6 Music launched 16 years ago today. 

When you turned 16, which album did you think was a masterpiece? Do you still love…",96
96,0.0,Sun Mar 11 09:38:23 +0000 2018,0.0,1.0,@BBC,0.0,"RT @1Xtra: The new breed a dancehall artist @thebellablair performs for @davidrodigan #1XtraJamaica 

📺▶ https://t.co/MrnHDz2ZyL https://t.…",97
97,0.7847,Sun Mar 11 09:35:38 +0000 2018,0.0,0.743,@BBC,0.257,"RT @BBCRadio3: ""To my first Love, my Mother, on whose knee
I learnt love-lore that is not troublesome""
Christina Rossetti's 'Sonnets are fu…",98
98,0.5803,Sun Mar 11 09:33:16 +0000 2018,0.0,0.869,@BBC,0.131,RT @TWBBC: Fry-up anyone?  🌭🥓🍳 Did you know just 1.5 sausages could reduce your lifespan by 30 minutes? But 2-3 cups of coffee could gain y…,99
99,0.0,Sun Mar 11 09:30:10 +0000 2018,0.0,1.0,@BBC,0.0,During the Middle Ages the custom developed of allowing people who had moved away to return and visit their mothers… https://t.co/UQD2ySeRH4,100
100,0.6696,Wed Mar 14 19:30:01 +0000 2018,0.0,0.781,@CBS,0.219,"Give these ladies some love! @Lauren_Alaina, @DBradbery, @carlypearce, and @RaeLynn are nominated for New Female Vo… https://t.co/IVhwURfJ3S",1
101,0.3612,Tue Mar 13 18:48:52 +0000 2018,0.0,0.857,@CBS,0.143,"RT @ManWithAPlan: Hungry for more #ManWithAPlan bloopers and behind-the-scenes videos featuring cast like @matt_leblanc, @thelizasnyder, @k…",2
102,0.539,Tue Mar 13 14:15:10 +0000 2018,0.0,0.821,@CBS,0.179,"Music stars @MileyCyrus, @edsheeran, @ladygaga, and more will honor the legendary @eltonofficial and his hit songs… https://t.co/UzxARCCLnI",3
103,0.2244,Mon Mar 12 18:13:28 +0000 2018,0.0,0.917,@CBS,0.083,RT @thegoodfight: The verdict is in. The new season of #TheGoodFight is 🔥🔥🔥! Stream it now on CBS All Access: https://t.co/FkYSNSXlRb https…,4
